Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;FDP Erststimmen;GRÜNE Erststimmen;Linke Erststimmen;REP Erststimmen;NPD Erststimmen;ödp Erststimmen;BüSo Erststimmen;ddp Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;Jansen Erststimmen;PBC Erststimmen;parteiunabhängig Erststimmen;Sonstige Erststimmen;;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;FDP Erststimmen in %;GRÜNE Erststimmen in %;Linke Erststimmen in %;REP Erststimmen in %;NPD Erststimmen in %;ödp Erststimmen in %;BüSo Erststimmen in %;ddp Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;Jansen Erststimmen in %;PBC Erststimmen in %;parteiunabhängig Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;FDP Zweitstimmen;GRÜNE Zweitstimmen;Linke Zweitstimmen;REP Zweitstimmen;NPD Zweitstimmen;ödp Zweitstimmen;BüSo Zweitstimmen;ddp Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;Jansen Zweitstimmen;PBC Zweitstimmen;parteiunabhängig Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;FDP Zweitstimmen in %;GRÜNE Zweitstimmen in %;Linke Zweitstimmen in %;REP Zweitstimmen in %;NPD Zweitstimmen in %;ödp Zweitstimmen in %;BüSo Zweitstimmen in %;ddp Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;Jansen Zweitstimmen in %;PBC Zweitstimmen in %;parteiunabhängig Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
1121370306000;Langenfeld;615;558;57;0;439;54;71,4;2;10;429;2,3;97,7;116;238;20;48;5;;;2;;;;;;;;;;;;;;;;;;27;55,5;4,7;11,2;1,2;;;0,5;;;;;;;;;;;;;;;;;;10;429;2,3;97,7;110;221;25;53;5;0;2;1;0;0;8;4;;;;;;;;;;;;;;25,6;51,5;5,8;12,4;1,2;0;0,5;0,2;0;0;1,9;0,9;;;;;;;;;;;;;;;;1;1;27.03.2011 18:46
1121370306100;Langscheid;83;74;9;0;68;8;81,9;2;4;64;5,9;94,1;15;33;6;8;1;;;1;;;;;;;;;;;;;;;;;;23,4;51,6;9,4;12,5;1,6;;;1,6;;;;;;;;;;;;;;;;;;2;66;2,9;97,1;12;33;4;11;1;0;0;1;0;0;3;1;;;;;;;;;;;;;;18,2;50;6,1;16,7;1,5;0;0;1,5;0;0;4,5;1,5;;;;;;;;;;;;;;;;1;1;27.03.2011 18:24
1121370306300;Lind;36;35;1;0;30;1;83,3;2;1;29;3,3;96,7;3;16;1;8;1;;;0;;;;;;;;;;;;;;;;;;10,3;55,2;3,4;27,6;3,4;;;0;;;;;;;;;;;;;;;;;;1;29;3,3;96,7;5;15;0;8;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;17,2;51,7;0;27,6;3,4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;1;1;27.03.2011 18:26
1121370306600;Luxem;241;222;19;0;194;16;80,5;2;9;185;4,6;95,4;41;115;3;22;0;;;4;;;;;;;;;;;;;;;;;;22,2;62,2;1,6;11,9;0;;;2,2;;;;;;;;;;;;;;;;;;5;189;2,6;97,4;45;115;1;22;0;0;1;0;0;0;2;3;;;;;;;;;;;;;;23,8;60,8;0,5;11,6;0;0;0,5;0;0;0;1,1;1,6;;;;;;;;;;;;;;;;1;1;27.03.2011 18:36
1121370307400;Monreal;686;627;59;0;462;56;67,3;2;12;450;2,6;97,4;143;200;20;74;7;;;6;;;;;;;;;;;;;;;;;;31,8;44,4;4,4;16,4;1,6;;;1,3;;;;;;;;;;;;;;;;;;9;453;1,9;98,1;140;183;28;82;6;1;6;3;0;0;2;2;;;;;;;;;;;;;;30,9;40,4;6,2;18,1;1,3;0,2;1,3;0,7;0;0;0,4;0,4;;;;;;;;;;;;;;;;1;1;27.03.2011 18:54
1121370307700;Münk;204;195;9;0;144;9;70,6;2;9;135;6,3;93,8;32;81;0;18;4;;;0;;;;;;;;;;;;;;;;;;23,7;60;0;13,3;3;;;0;;;;;;;;;;;;;;;;;;3;141;2,1;97,9;36;80;1;17;2;1;0;0;0;0;0;4;;;;;;;;;;;;;;25,5;56,7;0,7;12,1;1,4;0,7;0;0;0;0;0;2,8;;;;;;;;;;;;;;;;1;1;27.03.2011 18:32
1121370307900;Nachtsheim;459;424;35;0;344;34;74,9;2;9;335;2,6;97,4;68;206;12;34;12;;;3;;;;;;;;;;;;;;;;;;20,3;61,5;3,6;10,1;3,6;;;0,9;;;;;;;;;;;;;;;;;;4;340;1,2;98,8;73;199;10;37;5;3;3;1;0;2;3;4;;;;;;;;;;;;;;21,5;58,5;2,9;10,9;1,5;0,9;0,9;0,3;0;0,6;0,9;1,2;;;;;;;;;;;;;;;;1;1;27.03.2011 18:53
1121370309200;Reudelsterz;312;296;16;0;199;16;63,8;2;9;190;4,5;95,5;72;78;3;28;7;;;2;;;;;;;;;;;;;;;;;;37,9;41,1;1,6;14,7;3,7;;;1,1;;;;;;;;;;;;;;;;;;6;193;3;97;67;77;6;34;1;1;4;2;0;0;0;1;;;;;;;;;;;;;;34,7;39,9;3,1;17,6;0,5;0,5;2,1;1;0;0;0;0,5;;;;;;;;;;;;;;;;1;1;27.03.2011 18:42
1121370309700;Sankt Johann;721;642;79;0;467;76;64,8;2;14;453;3;97;146;198;20;79;8;;;2;;;;;;;;;;;;;;;;;;32,2;43,7;4,4;17,4;1,8;;;0,4;;;;;;;;;;;;;;;;;;10;457;2,1;97,9;140;187;20;88;5;0;3;3;0;0;7;4;;;;;;;;;;;;;;30,6;40,9;4,4;19,3;1,1;0;0,7;0,7;0;0;1,5;0,9;;;;;;;;;;;;;;;;1;1;27.03.2011 19:06
1121370309900;Siebenbach;169;158;11;0;117;9;69,2;2;0;117;0;100;20;73;8;13;2;;;1;;;;;;;;;;;;;;;;;;17,1;62,4;6,8;11,1;1,7;;;0,9;;;;;;;;;;;;;;;;;;1;116;0,9;99,1;24;64;9;14;2;0;0;1;0;0;2;0;;;;;;;;;;;;;;20,7;55,2;7,8;12,1;1,7;0;0;0,9;0;0;1,7;0;;;;;;;;;;;;;;;;1;1;27.03.2011 18:28
1121370310500;Virneburg;328;283;45;0;234;40;71,3;2;12;222;5,1;94,9;52;123;8;33;5;;;1;;;;;;;;;;;;;;;;;;23,4;55,4;3,6;14,9;2,3;;;0,5;;;;;;;;;;;;;;;;;;5;229;2,1;97,9;56;113;11;31;8;1;0;0;0;1;5;3;;;;;;;;;;;;;;24,5;49,3;4,8;13,5;3,5;0,4;0;0;0;0,4;2,2;1,3;;;;;;;;;;;;;;;;1;1;27.03.2011 18:36
1121370311000;Weiler;401;357;44;0;286;42;71,3;2;10;276;3,5;96,5;104;115;8;39;8;;;2;;;;;;;;;;;;;;;;;;37,7;41,7;2,9;14,1;2,9;;;0,7;;;;;;;;;;;;;;;;;;8;278;2,8;97,2;104;114;5;39;9;0;3;2;0;0;1;1;;;;;;;;;;;;;;37,4;41;1,8;14;3,2;0;1,1;0,7;0;0;0,4;0,4;;;;;;;;;;;;;;;;2;2;29.03.2011 09:09
1121370311300;Welschenbach;46;43;3;0;36;3;78,3;2;2;34;5,6;94,4;6;17;1;8;1;;;1;;;;;;;;;;;;;;;;;;17,6;50;2,9;23,5;2,9;;;2,9;;;;;;;;;;;;;;;;;;0;36;0;100;6;17;1;10;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;16,7;47,2;2,8;27,8;2,8;2,8;0;0;0;0;0;0;;;;;;;;;;;;;;;;1;1;27.03.2011 18:33
1121370500000;Rhens, VG;7126;5752;1374;0;4964;1306;69,7;2;146;4818;2,9;97,1;1362;2433;155;721;102;;;45;;;;;;;;;;;;;;;;;;28,3;50,5;3,2;15;2,1;;;0,9;;;;;;;;;;;;;;;;;;94;4870;1,9;98,1;1497;2051;212;801;91;17;33;19;3;2;85;59;;;;;;;;;;;;;;30,7;42,1;4,4;16,4;1,9;0,3;0,7;0,4;0,1;0;1,7;1,2;;;;;;;;;;;;;;;;6;6;29.03.2011 09:54
1121370520400;Brey;1232;1031;201;0;876;194;71,1;2;15;861;1,7;98,3;289;365;32;150;18;;;7;;;;;;;;;;;;;;;;;;33,6;42,4;3,7;17,4;2,1;;;0,8;;;;;;;;;;;;;;;;;;14;862;1,6;98,4;289;324;31;167;15;2;5;3;2;0;14;10;;;;;;;;;;;;;;33,5;37,6;3,6;19,4;1,7;0,2;0,6;0,3;0,2;0;1,6;1,2;;;;;;;;;;;;;;;;1;1;29.03.2011 09:54
1121370522100;Rhens;2406;1866;540;0;1713;520;71,2;2;63;1650;3,7;96,3;445;897;51;204;34;;;19;;;;;;;;;;;;;;;;;;27;54,4;3,1;12,4;2,1;;;1,2;;;;;;;;;;;;;;;;;;44;1669;2,6;97,4;540;719;71;231;38;6;6;4;0;1;27;26;;;;;;;;;;;;;;32,4;43,1;4,3;13,8;2,3;0,4;0,4;0,2;0;0,1;1,6;1,6;;;;;;;;;;;;;;;;2;2;29.03.2011 09:48
1121370522300;Spay;1583;1309;274;0;1124;264;71;2;37;1087;3,3;96,7;335;540;23;159;18;;;12;;;;;;;;;;;;;;;;;;30,8;49,7;2,1;14,6;1,7;;;1,1;;;;;;;;;;;;;;;;;;25;1099;2,2;97,8;372;465;35;169;12;3;5;9;0;1;17;11;;;;;;;;;;;;;;33,8;42,3;3,2;15,4;1,1;0,3;0,5;0,8;0;0,1;1,5;1;;;;;;;;;;;;;;;;1;1;27.03.2011 19:33
1121370522700;Waldesch;1905;1546;359;0;1251;328;65,7;2;31;1220;2,5;97,5;293;631;49;208;32;;;7;;;;;;;;;;;;;;;;;;24;51,7;4;17;2,6;;;0,6;;;;;;;;;;;;;;;;;;11;1240;0,9;99,1;296;543;75;234;26;6;17;3;1;0;27;12;;;;;;;;;;;;;;23,9;43,8;6;18,9;2,1;0,5;1,4;0,2;0,1;0;2,2;1;;;;;;;;;;;;;;;;2;2;29.03.2011 09:54
1121370600000;Untermosel, VG;14772;12318;2454;0;10110;2324;68,4;2;262;9848;2,6;97,4;2615;4829;456;1568;254;;;126;;;;;;;;;;;;;;;;;;26,6;49;4,6;15,9;2,6;;;1,3;;;;;;;;;;;;;;;;;;159;9951;1,6;98,4;2787;4491;505;1413;200;32;77;48;9;8;258;123;;;;;;;;;;;;;;28;45,1;5,1;14,2;2;0,3;0,8;0,5;0,1;0,1;2,6;1,2;;;;;;;;;;;;;;;;21;21;28.03.2011 11:22
1121370620100;Alken;541;418;123;0;454;121;83,9;2;18;436;4;96;120;226;16;64;6;;;4;;;;;;;;;;;;;;;;;;27,5;51,8;3,7;14,7;1,4;;;0,9;;;;;;;;;;;;;;;;;;16;438;3,5;96,5;119;199;21;61;12;1;1;3;0;2;19;0;;;;;;;;;;;;;;27,2;45,4;4,8;13,9;2,7;0,2;0,2;0,7;0;0,5;4,3;0;;;;;;;;;;;;;;;;1;1;27.03.2011 19:36
1121370620500;Brodenbach;497;436;61;0;356;58;71,6;2;9;347;2,5;97,5;92;176;19;50;9;;;1;;;;;;;;;;;;;;;;;;26,5;50,7;5,5;14,4;2,6;;;0,3;;;;;;;;;;;;;;;;;;5;351;1,4;98,6;97;167;20;44;3;1;8;1;0;0;5;5;;;;;;;;;;;;;;27,6;47,6;5,7;12,5;0,9;0,3;2,3;0,3;0;0;1,4;1,4;;;;;;;;;;;;;;;;2;2;28.03.2011 10:07
1121370620600;Burgen;622;516;106;0;403;102;64,8;2;8;395;2;98;118;192;17;56;11;;;1;;;;;;;;;;;;;;;;;;29,9;48,6;4,3;14,2;2,8;;;0,3;;;;;;;;;;;;;;;;;;7;396;1,7;98,3;139;172;14;55;10;0;3;0;0;2;1;0;;;;;;;;;;;;;;35,1;43,4;3,5;13,9;2,5;0;0,8;0;0;0,5;0,3;0;;;;;;;;;;;;;;;;1;1;27.03.2011 19:11
1121370620700;Dieblich;1895;1576;319;0;1260;311;66,5;2;25;1235;2;98;319;636;51;179;39;;;11;;;;;;;;;;;;;;;;;;25,8;51,5;4,1;14,5;3,2;;;0,9;;;;;;;;;;;;;;;;;;15;1245;1,2;98,8;324;577;59;186;26;2;11;2;0;0;33;25;;;;;;;;;;;;;;26;46,3;4,7;14,9;2,1;0,2;0,9;0,2;0;0;2,7;2;;;;;;;;;;;;;;;;1;1;27.03.2011 19:56
1121370620800;Hatzenport;505;430;75;0;342;71;67,7;2;7;335;2;98;96;160;13;38;15;;;13;;;;;;;;;;;;;;;;;;28,7;47,8;3,9;11,3;4,5;;;3,9;;;;;;;;;;;;;;;;;;2;340;0,6;99,4;108;141;18;35;12;3;6;5;1;0;9;2;;;;;;;;;;;;;;31,8;41,5;5,3;10,3;3,5;0,9;1,8;1,5;0,3;0;2,6;0,6;;;;;;;;;;;;;;;;1;1;27.03.2011 18:37
1121370621200;Kobern-Gondorf;2523;1980;543;0;1622;505;64,3;2;39;1583;2,4;97,6;406;798;65;256;38;;;20;;;;;;;;;;;;;;;;;;25,6;50,4;4,1;16,2;2,4;;;1,3;;;;;;;;;;;;;;;;;;26;1596;1,6;98,4;430;777;68;193;34;5;13;7;3;1;43;22;;;;;;;;;;;;;;26,9;48,7;4,3;12,1;2,1;0,3;0,8;0,4;0,2;0,1;2,7;1,4;;;;;;;;;;;;;;;;4;4;28.03.2011 10:50
1121370621400;Löf;1179;1010;169;0;803;159;68,1;2;18;785;2,2;97,8;188;439;24;104;22;;;8;;;;;;;;;;;;;;;;;;23,9;55,9;3,1;13,2;2,8;;;1;;;;;;;;;;;;;;;;;;12;791;1,5;98,5;214;384;35;105;19;1;1;3;2;1;14;12;;;;;;;;;;;;;;27,1;48,5;4,4;13,3;2,4;0,1;0,1;0,4;0,3;0,1;1,8;1,5;;;;;;;;;;;;;;;;2;2;27.03.2011 19:31
1121370621500;Macken;309;270;39;0;240;35;77,7;2;7;233;2,9;97,1;33;154;8;29;5;;;4;;;;;;;;;;;;;;;;;;14,2;66,1;3,4;12,4;2,1;;;1,7;;;;;;;;;;;;;;;;;;4;236;1,7;98,3;35;150;9;31;3;0;3;2;0;0;3;0;;;;;;;;;;;;;;14,8;63,6;3,8;13,1;1,3;0;1,3;0,8;0;0;1,3;0;;;;;;;;;;;;;;;;1;1;28.03.2011 11:06
1121370621700;Niederfell;879;754;125;0;464;111;52,8;2;21;443;4,5;95,5;149;177;24;79;8;;;6;;;;;;;;;;;;;;;;;;33,6;40;5,4;17,8;1,8;;;1,4;;;;;;;;;;;;;;;;;;17;447;3,7;96,3;149;170;15;75;6;1;2;4;0;0;14;11;;;;;;;;;;;;;;33,3;38;3,4;16,8;1,3;0,2;0,4;0,9;0;0;3,1;2,5;;;;;;;;;;;;;;;;1;1;27.03.2011 19:34
1121370621900;Nörtershausen;909;765;144;0;699;141;76,9;2;10;689;1,4;98,6;150;338;40;128;18;;;15;;;;;;;;;;;;;;;;;;21,8;49,1;5,8;18,6;2,6;;;2,2;;;;;;;;;;;;;;;;;;5;694;0,7;99,3;169;318;39;107;13;3;8;3;0;1;28;5;;;;;;;;;;;;;;24,4;45,8;5,6;15,4;1,9;0,4;1,2;0,4;0;0,1;4;0,7;;;;;;;;;;;;;;;;2;2;27.03.2011 19:08
1121370622000;Oberfell;898;798;100;0;658;96;73,3;2;16;642;2,4;97,6;182;351;19;77;11;;;2;;;;;;;;;;;;;;;;;;28,3;54,7;3;12;1,7;;;0,3;;;;;;;;;;;;;;;;;;11;647;1,7;98,3;195;313;24;73;12;4;5;0;1;0;11;9;;;;;;;;;;;;;;30,1;48,4;3,7;11,3;1,9;0,6;0,8;0;0,2;0;1,7;1,4;;;;;;;;;;;;;;;;1;1;27.03.2011 19:05
1121370623000;Winningen;2056;1751;305;0;1456;287;70,8;2;40;1416;2,7;97,3;398;576;115;273;33;;;21;;;;;;;;;;;;;;;;;;28,1;40,7;8,1;19,3;2,3;;;1,5;;;;;;;;;;;;;;;;;;24;1432;1,6;98,4;415;542;133;243;27;8;3;9;0;1;33;18;;;;;;;;;;;;;;29;37,8;9,3;17;1,9;0,6;0,2;0,6;0;0,1;2,3;1,3;;;;;;;;;;;;;;;;1;1;28.03.2011 11:22
1121370623100;Wolken;870;763;107;0;599;103;68,9;2;22;577;3,7;96,3;187;246;23;99;13;;;9;;;;;;;;;;;;;;;;;;32,4;42,6;4;17,2;2,3;;;1,6;;;;;;;;;;;;;;;;;;8;591;1,3;98,7;197;237;29;82;7;1;5;4;1;0;21;7;;;;;;;;;;;;;;33,3;40,1;4,9;13,9;1,2;0,2;0,8;0,7;0,2;0;3,6;1,2;;;;;;;;;;;;;;;;1;1;27.03.2011 19:25
1121370650400;Lehmen;1089;851;238;0;754;224;69,2;2;22;732;2,9;97,1;177;360;22;136;26;;;11;;;;;;;;;;;;;;;;;;24,2;49,2;3;18,6;3,6;;;1,5;;;;;;;;;;;;;;;;;;7;747;0,9;99,1;196;344;21;123;16;2;8;5;1;0;24;7;;;;;;;;;;;;;;26,2;46,1;2,8;16,5;2,1;0,3;1,1;0,7;0,1;0;3,2;0,9;;;;;;;;;;;;;;;;2;2;27.03.2011 19:29
1130000000000;Remagen / Sinzig, Wahlkreis;49989;42055;7933;1;29632;5366;59,3;2;735;28897;2,5;97,5;8729;12248;1689;5193;1038;;;;;;;;;;;;;;;;;;;;;30,2;42,4;5,8;18;3,6;;;;;;;;;;;;;;;;;;;;;477;29155;1,6;98,4;8496;11945;1284;5222;819;121;246;98;17;26;485;396;;;;;;;;;;;;;;29,1;41;4,4;17,9;2,8;0,4;0,8;0,3;0,1;0,1;1,7;1,4;;;;;;;;;;;;;;Ernst, Guido;CDU;60;60;04.04.2011 10:46
1131310000000;Ahrweiler, Teilkreis;49989;42055;7933;1;29632;5366;59,3;2;735;28897;2,5;97,5;8729;12248;1689;5193;1038;;;;;;;;;;;;;;;;;;;;;30,2;42,4;5,8;18;3,6;;;;;;;;;;;;;;;;;;;;;477;29155;1,6;98,4;8496;11945;1284;5222;819;121;246;98;17;26;485;396;;;;;;;;;;;;;;29,1;41;4,4;17,9;2,8;0,4;0,8;0,3;0,1;0,1;1,7;1,4;;;;;;;;;;;;;;;;60;60;28.03.2011 09:35
1131310007000;Remagen, Verbandsfreie Gemeinde;12114;10281;1833;0;6939;1782;57,3;2;133;6806;1,9;98,1;2325;2639;291;1325;226;;;;;;;;;;;;;;;;;;;;;34,2;38,8;4,3;19,5;3,3;;;;;;;;;;;;;;;;;;;;;100;6839;1,4;98,6;2062;2561;306;1408;200;24;52;18;3;12;86;107;;;;;;;;;;;;;;30,2;37,4;4,5;20,6;2,9;0,4;0,8;0,3;0;0,2;1,3;1,6;;;;;;;;;;;;;;;;10;10;27.03.2011 21:13
1131310007001;Remagen/Kripp;2055;1717;338;0;1209;323;59,3;1;25;1184;2,1;97,9;416;435;63;228;42;;;;;;;;;;;;;;;;;;;;;35,1;36,7;5,3;19,3;3,5;;;;;;;;;;;;;;;;;;;;;16;1193;1,3;98,7;389;430;60;220;42;1;8;3;0;5;14;21;;;;;;;;;;;;;;32,6;36;5;18,4;3,5;0,1;0,7;0,3;0;0,4;1,2;1,8;;;;;;;;;;;;;;;;1;1;27.03.2011 19:46
1131310007002;Remagen/Stadt;5058;4219;839;0;2831;818;56,2;1;52;2779;1,8;98,2;990;1050;106;535;98;;;;;;;;;;;;;;;;;;;;;35,6;37,8;3,8;19,3;3,5;;;;;;;;;;;;;;;;;;;;;41;2790;1,4;98,6;841;1039;117;592;89;7;19;6;1;1;27;51;;;;;;;;;;;;;;30,1;37,2;4,2;21,2;3,2;0,3;0,7;0,2;0;0;1;1,8;;;;;;;;;;;;;;;;3;3;27.03.2011 20:59
1131310007003;Remagen/Oberwinter;2866;2451;415;0;1668;411;58,3;1;22;1646;1,3;98,7;533;670;73;319;51;;;;;;;;;;;;;;;;;;;;;32,4;40,7;4,4;19,4;3,1;;;;;;;;;;;;;;;;;;;;;24;1644;1,4;98,6;482;634;85;338;43;5;6;3;2;4;22;20;;;;;;;;;;;;;;29,3;38,6;5,2;20,6;2,6;0,3;0,4;0,2;0,1;0,2;1,3;1,2;;;;;;;;;;;;;;;;3;3;27.03.2011 19:49
1131310007004;Remagen/Ödingen;754;682;72;0;448;72;59,4;1;8;440;1,8;98,2;145;189;17;78;11;;;;;;;;;;;;;;;;;;;;;33;43;3,9;17,7;2,5;;;;;;;;;;;;;;;;;;;;;2;446;0,4;99,6;133;177;14;93;7;2;6;5;0;0;3;6;;;;;;;;;;;;;;29,8;39,7;3,1;20,9;1,6;0,4;1,3;1,1;0;0;0,7;1,3;;;;;;;;;;;;;;;;1;1;27.03.2011 19:11
1131310007005;Remagen/Rolandswerth;409;346;63;0;224;58;55,4;1;10;214;4,5;95,5;63;106;7;32;6;;;;;;;;;;;;;;;;;;;;;29,4;49,5;3,3;15;2,8;;;;;;;;;;;;;;;;;;;;;5;219;2,2;97,8;58;99;12;35;7;0;1;0;0;0;6;1;;;;;;;;;;;;;;26,5;45,2;5,5;16;3,2;0;0,5;0;0;0;2,7;0,5;;;;;;;;;;;;;;;;1;1;27.03.2011 21:13
1131310007006;Remagen/Unkelbach;972;866;106;0;559;100;57,9;1;16;543;2,9;97,1;178;189;25;133;18;;;;;;;;;;;;;;;;;;;;;32,8;34,8;4,6;24,5;3,3;;;;;;;;;;;;;;;;;;;;;12;547;2,1;97,9;159;182;18;130;12;9;12;1;0;2;14;8;;;;;;;;;;;;;;29,1;33,3;3,3;23,8;2,2;1,6;2,2;0,2;0;0,4;2,6;1,5;;;;;;;;;;;;;;;;1;1;27.03.2011 20:27
1131310007700;Sinzig, Verbandsfreie Gemeinde;13175;10897;2278;0;7778;0;59;2;180;7598;2,3;97,7;2154;3058;440;1694;252;;;;;;;;;;;;;;;;;;;;;28,3;40,2;5,8;22,3;3,3;;;;;;;;;;;;;;;;;;;;;107;7671;1,4;98,6;2088;3041;346;1637;183;39;58;31;5;3;118;122;;;;;;;;;;;;;;27,2;39,6;4,5;21,3;2,4;0,5;0,8;0,4;0,1;0;1,5;1,6;;;;;;;;;;;;;;;;11;11;27.03.2011 20:03
1131310007710;Sinzig / Bad Bodendorf;3013;2500;513;0;1850;0;74;1;48;1802;2,6;97,4;465;708;105;474;50;;;;;;;;;;;;;;;;;;;;;25,8;39,3;5,8;26,3;2,8;;;;;;;;;;;;;;;;;;;;;35;1815;1,9;98,1;477;715;97;396;45;7;12;7;0;0;41;18;;;;;;;;;;;;;;26,3;39,4;5,3;21,8;2,5;0,4;0,7;0,4;0;0;2,3;1;;;;;;;;;;;;;;;;2;2;27.03.2011 19:25
1131310007720;Sinzig / Franken;373;299;74;0;225;0;75,3;1;10;215;4,4;95,6;62;88;24;32;9;;;;;;;;;;;;;;;;;;;;;28,8;40,9;11,2;14,9;4,2;;;;;;;;;;;;;;;;;;;;;7;218;3,1;96,9;65;87;7;28;6;2;2;1;0;0;14;6;;;;;;;;;;;;;;29,8;39,9;3,2;12,8;2,8;0,9;0,9;0,5;0;0;6,4;2,8;;;;;;;;;;;;;;;;1;1;27.03.2011 18:44
1131310007730;Sinzig / Koisdorf;640;527;113;0;427;0;81;1;8;419;1,9;98,1;115;173;33;93;5;;;;;;;;;;;;;;;;;;;;;27,4;41,3;7,9;22,2;1,2;;;;;;;;;;;;;;;;;;;;;4;423;0,9;99,1;97;186;22;100;5;2;0;1;0;0;2;8;;;;;;;;;;;;;;22,9;44;5,2;23,6;1,2;0,5;0;0,2;0;0;0,5;1,9;;;;;;;;;;;;;;;;1;1;27.03.2011 18:52
1131310007740;Sinzig / Löhndorf;1065;862;203;0;757;0;87,8;1;21;736;2,8;97,2;189;327;41;163;16;;;;;;;;;;;;;;;;;;;;;25,7;44,4;5,6;22,1;2,2;;;;;;;;;;;;;;;;;;;;;14;743;1,8;98,2;185;315;38;166;10;1;4;4;0;1;11;8;;;;;;;;;;;;;;24,9;42,4;5,1;22,3;1,3;0,1;0,5;0,5;0;0,1;1,5;1,1;;;;;;;;;;;;;;;;1;1;27.03.2011 19:06
1131310007750;Sinzig;6739;5621;1118;0;3699;0;65,8;1;64;3635;1,7;98,3;1134;1354;193;800;154;;;;;;;;;;;;;;;;;;;;;31,2;37,2;5,3;22;4,2;;;;;;;;;;;;;;;;;;;;;39;3660;1,1;98,9;1083;1343;150;806;105;23;33;14;3;1;37;62;;;;;;;;;;;;;;29,6;36,7;4,1;22;2,9;0,6;0,9;0,4;0,1;0;1;1,7;;;;;;;;;;;;;;;;5;5;27.03.2011 20:03
1131310007760;Sinzig / Westum;1345;1088;257;0;820;0;75,4;1;29;791;3,5;96,5;189;408;44;132;18;;;;;;;;;;;;;;;;;;;;;23,9;51,6;5,6;16,7;2,3;;;;;;;;;;;;;;;;;;;;;8;812;1;99;181;395;32;141;12;4;7;4;2;1;13;20;;;;;;;;;;;;;;22,3;48,6;3,9;17,4;1,5;0,5;0,9;0,5;0,2;0,1;1,6;2,5;;;;;;;;;;;;;;;;1;1;27.03.2011 19:23
1131310300000;Bad Breisig, VG;10029;8265;1764;0;5767;1681;57,5;2;163;5604;2,8;97,2;1624;2428;409;904;239;;;;;;;;;;;;;;;;;;;;;29;43,3;7,3;16,1;4,3;;;;;;;;;;;;;;;;;;;;;110;5657;1,9;98,1;1701;2364;236;902;175;34;44;14;2;3;111;71;;;;;;;;;;;;;;30,1;41,8;4,2;15,9;3,1;0,6;0,8;0,2;0;0,1;2;1,3;;;;;;;;;;;;;;;;14;14;27.03.2011 19:57
1131310300600;Bad Breisig;6831;5531;1300;0;3740;1245;54,8;2;93;3647;2,5;97,5;1009;1659;242;570;167;;;;;;;;;;;;;;;;;;;;;27,7;45,5;6,6;15,6;4,6;;;;;;;;;;;;;;;;;;;;;69;3671;1,8;98,2;1062;1592;154;585;117;24;32;8;0;1;44;52;;;;;;;;;;;;;;28,9;43,4;4,2;15,9;3,2;0,7;0,9;0,2;0;0;1,2;1,4;;;;;;;;;;;;;;;;9;9;27.03.2011 19:57
1131310301400;Brohl-Lützing;1976;1684;292;0;1211;279;61,3;2;36;1175;3;97;407;473;67;178;50;;;;;;;;;;;;;;;;;;;;;34,6;40,3;5,7;15,1;4,3;;;;;;;;;;;;;;;;;;;;;19;1192;1,6;98,4;432;448;47;165;31;8;7;4;1;1;38;10;;;;;;;;;;;;;;36,2;37,6;3,9;13,8;2,6;0,7;0,6;0,3;0,1;0,1;3,2;0,8;;;;;;;;;;;;;;;;3;3;27.03.2011 19:27
1131310302500;Gönnersdorf;511;447;64;0;313;56;61,3;2;10;303;3,2;96,8;86;122;30;54;11;;;;;;;;;;;;;;;;;;;;;28,4;40,3;9,9;17,8;3,6;;;;;;;;;;;;;;;;;;;;;6;307;1,9;98,1;86;116;16;51;12;2;5;2;1;1;12;3;;;;;;;;;;;;;;28;37,8;5,2;16,6;3,9;0,7;1,6;0,7;0,3;0,3;3,9;1;;;;;;;;;;;;;;;;1;1;27.03.2011 18:43
